ResponseID,Q,Q_group,A
r00005,Q7,G1,Others
r00005,Q2,G1,Others
r00005,Q15,G2,Others
r00005,Q12,G6,Others
r00005,Q26,G2,Others
r00005,Q28,G6,Others
r00005,Q18,G4,Others
r00005,Q10,G4,Others
r00005,Q9,G1,No
r00005,Q6,G1,Yes
r00005,Q8,G3,No
r00005,Q40,G1,No
r00005,Q11,G1,N/A
r00005,Q41,G2,Yes
r00005,Q37,,Maybe
r00005,Q3,G5,No
r00005,Q1,G2,No
r00005,Q16,,No
r00005,Q35,G6,Maybe
r00005,Q25,,Yes
r00005,Q4,,Others
r00005,Q23,G2,Maybe
r00005,Q19,G2,Others
r00005,Q31,G2,Yes
r00005,Q33,G3,Maybe
r00005,Q14,G5,Maybe
r00005,Q32,G3,Yes
r00005,Q38,G3,No
r00005,Q13,G4,N/A
r00005,Q27,G4,Often
r00006,Q34,G1,N/A
r00006,Q42,G1,No
r00006,Q20,G3,No
r00006,Q39,G1,No
r00006,Q5,G1,N/A
r00006,Q22,G4,Maybe
r00006,Q17,G2,No
r00006,Q24,,No
r00006,Q29,G5,Maybe
r00006,Q21,G2,Yes
r00006,Q36,,Yes
r00006,Q30,G3,No
r00006,Q7,G1,Others
r00006,Q2,G1,Others
r00006,Q15,G2,Others
r00006,Q12,G6,Others
r00006,Q26,G2,Others
r00006,Q28,G6,Others
r00006,Q18,G4,Others
r00006,Q10,G4,Others
r00006,Q9,G1,Maybe
r00006,Q6,G1,Maybe
r00006,Q8,G3,No
r00006,Q40,G1,Maybe
r00006,Q11,G1,N/A
r00006,Q41,G2,No
r00006,Q37,,No
r00006,Q3,G5,Maybe
r00006,Q1,G2,Yes
r00006,Q16,,Maybe
r00006,Q35,G6,No
r00006,Q25,,Yes
r00006,Q4,,Others
r00006,Q23,G2,Yes
r00006,Q19,G2,Others
r00006,Q31,G2,Yes
r00006,Q33,G3,No
r00006,Q14,G5,N/A
r00006,Q32,G3,No
r00006,Q38,G3,Others
r00006,Q13,G4,N/A
r00006,Q27,G4,N/A
r00007,Q34,G1,Yes
r00007,Q42,G1,Yes
r00007,Q20,G3,No
r00007,Q39,G1,Yes
r00007,Q5,G1,Yes
r00007,Q22,G4,Yes
r00007,Q17,G2,No
r00007,Q24,,No
r00007,Q29,G5,Maybe
r00007,Q21,G2,Yes
r00007,Q36,,N/A
r00007,Q30,G3,No
r00007,Q7,G1,Others
r00007,Q2,G1,Others
r00007,Q15,G2,Others
r00007,Q12,G6,Others
r00007,Q26,G2,Others
r00007,Q28,G6,Others
r00007,Q18,G4,Others
r00007,Q10,G4,Others
r00007,Q9,G1,Maybe
r00007,Q6,G1,Maybe
r00007,Q8,G3,Maybe
r00007,Q40,G1,Maybe
r00007,Q11,G1,Maybe
r00007,Q41,G2,Maybe
r00007,Q37,,Maybe
r00007,Q3,G5,Maybe
r00007,Q1,G2,Maybe
r00007,Q16,,Maybe
r00007,Q35,G6,Maybe
r00007,Q25,,No
r00007,Q4,,Others
r00007,Q23,G2,No
r00007,Q19,G2,Others
r00007,Q31,G2,Maybe
r00007,Q33,G3,Maybe
r00007,Q14,G5,Maybe
r00007,Q32,G3,Yes
r00007,Q38,G3,Maybe
r00007,Q13,G4,Maybe
r00007,Q27,G4,Often
r00008,Q34,G1,N/A
r00008,Q42,G1,No
r00008,Q20,G3,No
r00008,Q39,G1,No
r00008,Q5,G1,N/A
r00008,Q22,G4,No
r00008,Q17,G2,Yes
r00008,Q24,,Yes
r00008,Q29,G5,Yes
r00008,Q21,G2,Maybe
r00008,Q36,,No
r00008,Q30,G3,No
r00008,Q7,G1,Others
r00008,Q2,G1,Others
r00008,Q15,G2,Others
r00008,Q12,G6,Others
r00008,Q26,G2,Others
r00008,Q28,G6,Others
r00008,Q18,G4,Others
r00008,Q10,G4,Others
r00008,Q9,G1,N/A
r00008,Q6,G1,N/A
r00008,Q8,G3,Maybe
r00008,Q40,G1,No
r00008,Q11,G1,N/A
r00008,Q41,G2,Yes
r00008,Q37,,Yes
r00008,Q3,G5,No
r00008,Q1,G2,No
r00008,Q16,,No
r00008,Q35,G6,No
r00008,Q25,,Maybe
r00008,Q4,,Others
r00008,Q23,G2,Maybe
r00008,Q19,G2,Others
r00008,Q31,G2,Maybe
r00008,Q33,G3,Yes
r00008,Q14,G5,Maybe
r00008,Q32,G3,Yes
r00008,Q38,G3,No
r00008,Q13,G4,Rare
r00008,Q27,G4,Often
r00009,Q34,G1,Others
r00009,Q42,G1,Others
r00009,Q20,G3,Others
r00009,Q39,G1,Others
r00009,Q5,G1,Others
r00009,Q22,G4,Others
r00009,Q17,G2,Others
r00009,Q24,,Others
r00009,Q29,G5,Others
r00009,Q21,G2,Others
r00009,Q36,,Others
r00009,Q30,G3,Others
r00009,Q7,G1,Yes
r00009,Q2,G1,Maybe
r00009,Q15,G2,No
r00009,Q12,G6,Others
r00009,Q26,G2,Maybe
r00009,Q28,G6,No
r00009,Q18,G4,Yes
r00009,Q10,G4,Rare
r00009,Q9,G1,Maybe
r00009,Q6,G1,Maybe
r00009,Q8,G3,No
r00009,Q40,G1,No
r00009,Q11,G1,N/A
r00009,Q41,G2,Maybe
r00009,Q37,,Maybe
r00009,Q3,G5,Maybe
r00009,Q1,G2,Maybe
r00009,Q16,,N/A
r00009,Q35,G6,No
r00009,Q25,,Yes
r00009,Q4,,Others
r00009,Q23,G2,Maybe
r00009,Q19,G2,Others
r00009,Q31,G2,Maybe
r00009,Q33,G3,No
r00009,Q14,G5,Yes
r00009,Q32,G3,No
r00009,Q38,G3,Others
r00009,Q13,G4,Rare
r00009,Q27,G4,Often
r00010,Q34,G1,Yes
r00010,Q42,G1,N/A
r00010,Q20,G3,Yes
r00010,Q39,G1,Yes
r00010,Q5,G1,Yes
r00010,Q22,G4,Yes
r00010,Q17,G2,No
r00010,Q24,,No
r00010,Q29,G5,Maybe
r00010,Q21,G2,Yes
r00010,Q36,,Yes
r00010,Q30,G3,No
r00010,Q7,G1,Others
r00010,Q2,G1,Others
r00010,Q15,G2,Others
r00010,Q12,G6,Others
r00010,Q26,G2,Others
r00010,Q28,G6,Others
r00010,Q18,G4,Others
r00010,Q10,G4,Others
r00010,Q9,G1,No
r00010,Q6,G1,N/A
r00010,Q8,G3,No
r00010,Q40,G1,No
r00010,Q11,G1,No
r00010,Q41,G2,Maybe
r00010,Q37,,Maybe
r00010,Q3,G5,No
r00010,Q1,G2,Maybe
r00010,Q16,,No
r00010,Q35,G6,Maybe
r00010,Q25,,Yes
r00010,Q4,,Others
r00010,Q23,G2,Yes
r00010,Q19,G2,Others
r00010,Q31,G2,No
r00010,Q33,G3,Maybe
r00010,Q14,G5,Yes
r00010,Q32,G3,Yes
r00010,Q38,G3,Maybe
r00010,Q13,G4,Maybe
r00010,Q27,G4,Often
r00011,Q34,G1,Yes
r00011,Q42,G1,Yes
r00011,Q20,G3,No
r00011,Q39,G1,N/A
r00011,Q5,G1,N/A
r00011,Q22,G4,Maybe
r00011,Q17,G2,Yes
r00011,Q24,,No
r00011,Q29,G5,No
r00011,Q21,G2,No
r00011,Q36,,No
r00011,Q30,G3,No
r00011,Q7,G1,Others
r00011,Q2,G1,Others
r00011,Q15,G2,Others
r00011,Q12,G6,Others
r00011,Q26,G2,Others
r00011,Q28,G6,Others
r00011,Q18,G4,Others
r00011,Q10,G4,Others
r00011,Q9,G1,No
r00011,Q6,G1,N/A
r00011,Q8,G3,No
r00011,Q40,G1,No
r00011,Q11,G1,N/A
r00011,Q41,G2,Yes
r00011,Q37,,Maybe
r00011,Q3,G5,No
r00011,Q1,G2,No
r00011,Q16,,No
r00011,Q35,G6,No
r00011,Q25,,No
r00011,Q4,,Others
r00011,Q23,G2,No
r00011,Q19,G2,Others
r00011,Q31,G2,Yes
r00011,Q33,G3,Yes
r00011,Q14,G5,No
r00011,Q32,G3,No
r00011,Q38,G3,Others
r00011,Q13,G4,No
r00011,Q27,G4,Rare
r00012,Q34,G1,Yes
r00012,Q42,G1,N/A
r00012,Q20,G3,No
r00012,Q39,G1,No
r00012,Q5,G1,Yes
r00012,Q22,G4,Yes
r00012,Q17,G2,No
r00012,Q24,,No
r00012,Q29,G5,Yes
r00012,Q21,G2,Yes
r00012,Q36,,Yes
r00012,Q30,G3,No
r00012,Q7,G1,Others
r00012,Q2,G1,Others
r00012,Q15,G2,Others
r00012,Q12,G6,Others
r00012,Q26,G2,Others
r00012,Q28,G6,Others
r00012,Q18,G4,Others
r00012,Q10,G4,Others
r00012,Q9,G1,Maybe
r00012,Q6,G1,Yes
r00012,Q8,G3,Maybe
r00012,Q40,G1,Maybe
r00012,Q11,G1,Yes
r00012,Q41,G2,No
r00012,Q37,,No
r00012,Q3,G5,Yes
r00012,Q1,G2,Maybe
r00012,Q16,,Yes
r00012,Q35,G6,No
r00012,Q25,,No
r00012,Q4,,Others
r00012,Q23,G2,No
r00012,Q19,G2,Others
r00012,Q31,G2,Others
r00012,Q33,G3,No
r00012,Q14,G5,Maybe
r00012,Q32,G3,No
r00012,Q38,G3,Others
r00012,Q13,G4,Rare
r00012,Q27,G4,Maybe
r00013,Q34,G1,Yes
r00013,Q42,G1,Yes
r00013,Q20,G3,Yes
r00013,Q39,G1,Yes
r00013,Q5,G1,Yes
r00013,Q22,G4,Maybe
r00013,Q17,G2,No
r00013,Q24,,No
r00013,Q29,G5,No
r00013,Q21,G2,Maybe
r00013,Q36,,Yes
r00013,Q30,G3,No
r00013,Q7,G1,Others
r00013,Q2,G1,Others
r00013,Q15,G2,Others
r00013,Q12,G6,Others
r00013,Q26,G2,Others
r00013,Q28,G6,Others
r00013,Q18,G4,Others
r00013,Q10,G4,Others
r00013,Q9,G1,N/A
r00013,Q6,G1,N/A
r00013,Q8,G3,No
r00013,Q40,G1,No
r00013,Q11,G1,N/A
r00013,Q41,G2,Yes
r00013,Q37,,Yes
r00013,Q3,G5,Maybe
r00013,Q1,G2,Maybe
r00013,Q16,,No
r00013,Q35,G6,Maybe
r00013,Q25,,Yes
r00013,Q4,,Others
r00013,Q23,G2,No
r00013,Q19,G2,Others
r00013,Q31,G2,Maybe
r00013,Q33,G3,Yes
r00013,Q14,G5,No
r00013,Q32,G3,Yes
r00013,Q38,G3,Maybe
r00013,Q13,G4,N/A
r00013,Q27,G4,Maybe
r00014,Q34,G1,Yes
r00014,Q42,G1,Yes
r00014,Q20,G3,No
r00014,Q39,G1,N/A
r00014,Q5,G1,Yes
r00014,Q22,G4,Yes
r00014,Q17,G2,No
r00014,Q24,,No
r00014,Q29,G5,Yes
r00014,Q21,G2,Yes
r00014,Q36,,No
r00014,Q30,G3,No
r00014,Q7,G1,Others
r00014,Q2,G1,Others
r00014,Q15,G2,Others
r00014,Q12,G6,Others
r00014,Q26,G2,Others
r00014,Q28,G6,Others
r00014,Q18,G4,Others
r00014,Q10,G4,Others
r00014,Q9,G1,N/A
r00014,Q6,G1,No
r00014,Q8,G3,No
r00014,Q40,G1,No
r00014,Q11,G1,N/A
r00014,Q41,G2,N/A
r00014,Q37,,No
r00014,Q3,G5,No
r00014,Q1,G2,N/A
r00014,Q16,,N/A
r00014,Q35,G6,No
r00014,Q25,,No
r00014,Q4,,Others
r00014,Q23,G2,No
r00014,Q19,G2,Others
r00014,Q31,G2,Others
r00014,Q33,G3,No
r00014,Q14,G5,Maybe
r00014,Q32,G3,No
r00014,Q38,G3,Others
r00014,Q13,G4,Maybe
r00014,Q27,G4,Maybe
r00015,Q34,G1,N/A
r00015,Q42,G1,No
r00015,Q20,G3,No
r00015,Q39,G1,N/A
r00015,Q5,G1,N/A
r00015,Q22,G4,Neutral
r00015,Q17,G2,Maybe
r00015,Q24,,Maybe
r00015,Q29,G5,Maybe
r00015,Q21,G2,Maybe
r00015,Q36,,N/A
r00015,Q30,G3,No
r00015,Q7,G1,Others
r00015,Q2,G1,Others
r00015,Q15,G2,Others
r00015,Q12,G6,Others
r00015,Q26,G2,Others
r00015,Q28,G6,Others
r00015,Q18,G4,Others
r00015,Q10,G4,Others
r00015,Q9,G1,Maybe
r00015,Q6,G1,Maybe
r00015,Q8,G3,Maybe
r00015,Q40,G1,Maybe
r00015,Q11,G1,Maybe
r00015,Q41,G2,Maybe
r00015,Q37,,Maybe
r00015,Q3,G5,Maybe
r00015,Q1,G2,Maybe
r00015,Q16,,Maybe
r00015,Q35,G6,No
r00015,Q25,,Maybe
r00015,Q4,,Others
r00015,Q23,G2,Maybe
r00015,Q19,G2,Others
r00015,Q31,G2,Maybe
r00015,Q33,G3,Maybe
r00015,Q14,G5,Neutral
r00015,Q32,G3,No
r00015,Q38,G3,Others
r00015,Q13,G4,Rare
r00015,Q27,G4,Maybe
r00016,Q34,G1,N/A
r00016,Q42,G1,No
r00016,Q20,G3,No
r00016,Q39,G1,No
r00016,Q5,G1,N/A
r00016,Q22,G4,No
r00016,Q17,G2,Maybe
r00016,Q24,,No
r00016,Q29,G5,Maybe
r00016,Q21,G2,Maybe
r00016,Q36,,No
r00016,Q30,G3,No
r00016,Q7,G1,Others
r00016,Q2,G1,Others
r00016,Q15,G2,Others
r00016,Q12,G6,Others
r00016,Q26,G2,Others
r00016,Q28,G6,Others
r00016,Q18,G4,Others
r00016,Q10,G4,Others
r00016,Q9,G1,No
r00016,Q6,G1,No
r00016,Q8,G3,No
r00016,Q40,G1,No
r00016,Q11,G1,No
r00016,Q41,G2,Yes
r00016,Q37,,No
r00016,Q3,G5,No
r00016,Q1,G2,No
r00016,Q16,,No
r00016,Q35,G6,Maybe
r00016,Q25,,Yes
r00016,Q4,,Others
r00016,Q23,G2,No
r00016,Q19,G2,Others
r00016,Q31,G2,Yes
r00016,Q33,G3,No
r00016,Q14,G5,Yes
r00016,Q32,G3,Yes
r00016,Q38,G3,Yes
r00016,Q13,G4,Maybe
r00016,Q27,G4,Often
r00017,Q34,G1,No
r00017,Q42,G1,No
r00017,Q20,G3,No
r00017,Q39,G1,No
r00017,Q5,G1,N/A
r00017,Q22,G4,N/A
r00017,Q17,G2,Maybe
r00017,Q24,,No
r00017,Q29,G5,Yes
r00017,Q21,G2,Maybe
r00017,Q36,,No
r00017,Q30,G3,No
r00017,Q7,G1,Others
r00017,Q2,G1,Others
r00017,Q15,G2,Others
r00017,Q12,G6,Others
r00017,Q26,G2,Others
r00017,Q28,G6,Others
r00017,Q18,G4,Others
r00017,Q10,G4,Others
r00017,Q9,G1,No
r00017,Q6,G1,Yes
r00017,Q8,G3,No
r00017,Q40,G1,No
r00017,Q11,G1,N/A
r00017,Q41,G2,Maybe
r00017,Q37,,Maybe
r00017,Q3,G5,Maybe
r00017,Q1,G2,Maybe
r00017,Q16,,Maybe
r00017,Q35,G6,No
r00017,Q25,,No
r00017,Q4,,Others
r00017,Q23,G2,No
r00017,Q19,G2,Others
r00017,Q31,G2,Maybe
r00017,Q33,G3,Maybe
r00017,Q14,G5,Maybe
r00017,Q32,G3,Maybe
r00017,Q38,G3,Maybe
r00017,Q13,G4,N/A
r00017,Q27,G4,N/A
r00018,Q34,G1,Others
r00018,Q42,G1,Others
r00018,Q20,G3,Others
r00018,Q39,G1,Others
r00018,Q5,G1,Others
r00018,Q22,G4,Others
r00018,Q17,G2,Others
r00018,Q24,,Others
r00018,Q29,G5,Others
r00018,Q21,G2,Others
r00018,Q36,,Others
r00018,Q30,G3,Others
r00018,Q7,G1,Yes
r00018,Q2,G1,Maybe
r00018,Q15,G2,No
r00018,Q12,G6,Yes
r00018,Q26,G2,No
r00018,Q28,G6,Yes
r00018,Q18,G4,Yes
r00018,Q10,G4,Yes
r00018,Q9,G1,Others
r00018,Q6,G1,Others
r00018,Q8,G3,Others
r00018,Q40,G1,Others
r00018,Q11,G1,Others
r00018,Q41,G2,Others
r00018,Q37,,Others
r00018,Q3,G5,Others
r00018,Q1,G2,Others
r00018,Q16,,Others
r00018,Q35,G6,Others
r00018,Q25,,No
r00018,Q4,,Others
r00018,Q23,G2,No
r00018,Q19,G2,Others
r00018,Q31,G2,Yes
r00018,Q33,G3,Yes
r00018,Q14,G5,Maybe
r00018,Q32,G3,Yes
r00018,Q38,G3,Yes
r00018,Q13,G4,Often
r00018,Q27,G4,Often
r00019,Q34,G1,N/A
r00019,Q42,G1,No
r00019,Q20,G3,No
r00019,Q39,G1,No
r00019,Q5,G1,N/A
r00019,Q22,G4,N/A
r00019,Q17,G2,Yes
r00019,Q24,,No
r00019,Q29,G5,No
r00019,Q21,G2,No
r00019,Q36,,Yes
r00019,Q30,G3,No
r00019,Q7,G1,Others
r00019,Q2,G1,Others
r00019,Q15,G2,Others
r00019,Q12,G6,Others
r00019,Q26,G2,Others
r00019,Q28,G6,Others
r00019,Q18,G4,Others
r00019,Q10,G4,Others
r00019,Q9,G1,N/A
r00019,Q6,G1,N/A
r00019,Q8,G3,No
r00019,Q40,G1,Maybe
r00019,Q11,G1,N/A
r00019,Q41,G2,Yes
r00019,Q37,,No
r00019,Q3,G5,No
r00019,Q1,G2,No
r00019,Q16,,No
r00019,Q35,G6,No
r00019,Q25,,Yes
r00019,Q4,,Others
r00019,Q23,G2,No
r00019,Q19,G2,Others
r00019,Q31,G2,Yes
r00019,Q33,G3,Yes
r00019,Q14,G5,Maybe
r00019,Q32,G3,No
r00019,Q38,G3,Others
r00019,Q13,G4,Rare
r00019,Q27,G4,Maybe
r00020,Q34,G1,No
r00020,Q42,G1,Others
r00020,Q20,G3,No
r00020,Q39,G1,No
r00020,Q5,G1,N/A
r00020,Q22,G4,Yes
r00020,Q17,G2,No
r00020,Q24,,No
r00020,Q29,G5,Maybe
r00020,Q21,G2,Yes
r00020,Q36,,N/A
r00020,Q30,G3,No
r00020,Q7,G1,Others
r00020,Q2,G1,Others
r00020,Q15,G2,Others
r00020,Q12,G6,Others
r00020,Q26,G2,Others
r00020,Q28,G6,Others
r00020,Q18,G4,Others
r00020,Q10,G4,Others
r00020,Q9,G1,Yes
r00020,Q6,G1,Yes
r00020,Q8,G3,No
r00020,Q40,G1,No
r00020,Q11,G1,Yes
r00020,Q41,G2,No
r00020,Q37,,No
r00020,Q3,G5,Maybe
r00020,Q1,G2,Maybe
r00020,Q16,,Yes
r00020,Q35,G6,No
r00020,Q25,,Maybe
r00020,Q4,,Others
r00020,Q23,G2,No
r00020,Q19,G2,Others
r00020,Q31,G2,Yes
r00020,Q33,G3,Yes
r00020,Q14,G5,Maybe
r00020,Q32,G3,Maybe
r00020,Q38,G3,Maybe
r00020,Q13,G4,N/A
r00020,Q27,G4,N/A
r00021,Q34,G1,Yes
r00021,Q42,G1,No
r00021,Q20,G3,Yes
r00021,Q39,G1,N/A
r00021,Q5,G1,N/A
r00021,Q22,G4,Maybe
r00021,Q17,G2,No
r00021,Q24,,No
r00021,Q29,G5,Maybe
r00021,Q21,G2,Yes
r00021,Q36,,N/A
r00021,Q30,G3,No
r00021,Q7,G1,Others
r00021,Q2,G1,Others
r00021,Q15,G2,Others
r00021,Q12,G6,Others
r00021,Q26,G2,Others
r00021,Q28,G6,Others
r00021,Q18,G4,Others
r00021,Q10,G4,Others
r00021,Q9,G1,Maybe
r00021,Q6,G1,Yes
r00021,Q8,G3,Maybe
r00021,Q40,G1,Maybe
r00021,Q11,G1,Yes
r00021,Q41,G2,No
r00021,Q37,,Maybe
r00021,Q3,G5,Maybe
r00021,Q1,G2,Maybe
r00021,Q16,,N/A
r00021,Q35,G6,No
r00021,Q25,,No
r00021,Q4,,Others
r00021,Q23,G2,No
r00021,Q19,G2,Others
r00021,Q31,G2,Maybe
r00021,Q33,G3,Maybe
r00021,Q14,G5,Neutral
r00021,Q32,G3,No
r00021,Q38,G3,Others
r00021,Q13,G4,N/A
r00021,Q27,G4,N/A
r00022,Q34,G1,Yes
r00022,Q42,G1,Yes
r00022,Q20,G3,No
r00022,Q39,G1,No
r00022,Q5,G1,N/A
r00022,Q22,G4,Yes
r00022,Q17,G2,Maybe
r00022,Q24,,Maybe
r00022,Q29,G5,Maybe
r00022,Q21,G2,No
r00022,Q36,,N/A
r00022,Q30,G3,No
r00022,Q7,G1,Others
r00022,Q2,G1,Others
r00022,Q15,G2,Others
r00022,Q12,G6,Others
r00022,Q26,G2,Others
r00022,Q28,G6,Others
r00022,Q18,G4,Others
r00022,Q10,G4,Others
r00022,Q9,G1,Yes
r00022,Q6,G1,Yes
r00022,Q8,G3,No
r00022,Q40,G1,No
r00022,Q11,G1,N/A
r00022,Q41,G2,N/A
r00022,Q37,,Maybe
r00022,Q3,G5,Maybe
r00022,Q1,G2,Maybe
r00022,Q16,,N/A
r00022,Q35,G6,No
r00022,Q25,,Maybe
r00022,Q4,,Others
r00022,Q23,G2,Maybe
r00022,Q19,G2,Others
r00022,Q31,G2,Maybe
r00022,Q33,G3,No
r00022,Q14,G5,Neutral
r00022,Q32,G3,No
r00022,Q38,G3,Others
r00022,Q13,G4,N/A
r00022,Q27,G4,N/A
r00023,Q34,G1,Yes
r00023,Q42,G1,Yes
r00023,Q20,G3,No
r00023,Q39,G1,No
r00023,Q5,G1,N/A
r00023,Q22,G4,Maybe
r00023,Q17,G2,Maybe
r00023,Q24,,No
r00023,Q29,G5,Maybe
r00023,Q21,G2,Maybe
r00023,Q36,,N/A
r00023,Q30,G3,No
r00023,Q7,G1,Others
r00023,Q2,G1,Others
r00023,Q15,G2,Others
r00023,Q12,G6,Others
r00023,Q26,G2,Others
r00023,Q28,G6,Others
r00023,Q18,G4,Others
r00023,Q10,G4,Others
r00023,Q9,G1,Maybe
